Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
11335;6005721018765;RUW 3M METAL INDUST DRILLBIT;R 19.00;
11336;6005721018772;RUW 3.2M METAL INDUST DRILLBIT;R 19.50;
11337;6005721024353;RUW 4.8M METAL INDUST DRILLBIT;R 29.50;
11338;6005721029594;RUW 12X400M IND/CON LNG DRILLB;R 166.00;
11339;;RUW 10X200M INDUS/CONC LONG;R 70.50;
11340;6005721018987;RUW 13M METAL INDUST DRILLBIT;R 163.50;
11341;6005721097821;RUW ORBITAL RANDOM 115 P60;R 40.00;
11367;;KK BRASS NUMBERS 75MM;R 34.50;
11419;6005721006595;RUW 3M IND/CON DRILLBIT;R 25.50;
11420;6005721019731;RUW 3.5M IND/CON DRILLBIT;R 26.00;
11421;6005721023660;RUW 15M INDUST/CON DRILLBIT;R 86.00;
11422;6005721006700;RUW 16M IND/CON DRILLBIT 51600;R 95.00;
11423;6005721029587;RUW 10X400 INDUST/CONC LONG;R 158.00;
11424;6005721024674;RUW 14X400M IND/CON/LNG D/BIT;R 225.00;
11425;;RUW 16X400M CON/LNG DRILLBIT;R 105.10;
11457;;MTS BLADE DIAM CONTINUOUS 230M;R 177.50;
11458;;MTS BLADE DIAM TURBO MARB 230M;R 182.00;
11463;;ELECT EAGLE PULL SWITCH FLOUR.;R 20.50;
11473;;ELECT EURO TOP ENTRY PLUG PROT;R 8.80;
11474;;ELECT ADAPTOR DBL 2X16A;R 26.40;
11475;;MASONRY NAILS 25MM(500GR);R 36.40;
11482;;ELECT INDUSTRIAL SWITCH PLUG;R 69.30;
11484;;ELECT CEILING FAN SWITCH 3 SPD;R 33.90;
115-9012;;CG DIAMOND GLOSS CATALYST 25LT;R 1,209.50;
11508;;ZEL KNIFE BLADE H/D PK10;R 47.00;
11510;;CRAFT GLOSS - COLOURS 125ML;R 36.50;
11522;6005721018758;RUW 2.5 METAL INDUST DRILLBIT;R 20.50;
11523;6005721018789;RUW 3.5 METAL INDUST DRILLBIT;R 21.50;
11524;6005721018796;RUW 4M METAL INDUST DRILLBIT;R 23.50;
11525;6005721018819;RUW 4.5M METAL INDUST DRILLBIT;R 27.50;
11526;;BROOM - GUTTER SWEEPER 92326;R 83.00;
11527;;CLEARNACE SAW HOLE 65MM;R 80.00;
11566;;ALN TWINE COTTON 1MMX50GR;R 16.50;
11567;6002065005451;ABE FLEXOTHANE 1 310ML;R 154.00;
