Stock Code;Bar Code;Stock Description;Count
11685;6005721025824;RUW PLIER 250MM GRIP ROUND HM;
11686;6005721098484;RUW PLIER SET 3PCS PROF.;
11689;;T/L MINI MULTI-TOOL PLIER 6 IN;
11690;;HAMMER CLUB 1KG W/HND WEBCO;
11691;;WEBCO HAMMER CLUB 1KG F/G/H;
11692;;WEBCO HAMMER CLUB 2KG F/G/H;
11693;6005721102242;RUW MALLET RUBBER 500G;
11695;6005721004188;RUW PLIER 250MM GRIP STRAIG PR;
11699;;T/L MULTI-TOOL HAMMER 9 FUNCT.;
11724;;L/C CABLE TIE BLACK 3.5X148;
11725;;DEK QD MEDIUM BASE 1LT;
11727;;L/C HALOGEN Q1 TUBE 150W 78MM;
11730;;ELECT BLANK COVER 100X100 C/T;
11732;;MTS ELEC WALL BOX 80X2X4;
11737;;PLIER 115MM MINI COMBINATION Z;
11738;;PLIER 115MM MINI LONGNOSE ZEL;
11743;;NAA DARK MAHOGANY P/S 20LT;
11746;;NAA MAHOGONY PENETRATING 20LT;
11762;6005721019779;RUW 8.5MM IND/CON DRILLBIT;
11768;;ALN OUTDOOR BRAID 10MMX15M;
11780;;GRIPPON 1LT;
11786;;MTS BLADE DIAM SEGMENTED 230MM;
11794;;PT PLUG TIMER 24HR 16A 230V;
11797;;MAK ANGLE GRINDER;
11799;;MAK DRILL HP1640;
11800;;MAK JIGSAW 4329K;
11802;;MAK ANGLE GRINDER;
11807;;PROSTRUCT AGGREGATE 500GR;
11810;6003064001727;DURAM DURAMESH (200MMX2M);
11811;6008558025135;DEK COL MAROON XBPM 1LT;
11817;;SPRAYGUN BAFFLE PLASTIC;
11818;;SICKLE POLY HANDLE 390M;
11822;;CC SCUMBLE GLAZE;
11824;;PT HAMMER CLAW F/G 500GR;
11825;;PT HAMMER CLUB F/G 1KG;
11826;;HAMMER CLUB ACCENT 1.8KG F/G;
11827;;BRUSH - BANNISTER 91001;
11836;6005721029563;RUW 6X400M CON/LONG DRILLBIT;
11837;6005721091072;RUW 6MM GLASS DRILLBIT;
11838;;RUW 12M ARROW GLASS DRILLLBIT;
11840;;C/S W/L MATT BLACK 20LT;
11841;6008558025104;DEK COL PTHALO GREEN XBPD 1LT;
11842;;SPRAYGUN S770 CUP GASKET;
11844;;MAK ORBITAL SANDER - BO3710;
11846;;SPRAYGUN S770 FLUID NOZZLE;
11847;;SPRAYGUN S770 FLUID NEEDLE;
11848;;SPRAYGUN S770 NEEDLE PACKING;
11850;;SPRAYGUN S770 AIR VALVE;
11851;;SCRAPER - PROF COMB MARSHAL;
11852;;SCRAPER - SHAVEHOOK TRIANGULAR;
11853;;M/M AIR DUSTER GUN DG-10-1;
11857;6003789133598;BROOM - SOFT WOOD/HNDLE F13359;
11867;;MOULDING - PINE Z12;
11871;;MAK ANGLE GRINDER - 9557HNG;
11872;;PT HACKSAW TUBULAR 300MM;
11883;;PT SPADE NO2 LASHER;
11884;;PT GARDEN TOOL HOLDER 5PCE MUL;
11885;;ZEL GLUE GUN 60W;
11893;;RACO TAP ADAPTOR RUBBER 55233C;
11895;;PT HAMMER CLAW 500GR;
11896;;WEBCO NON-ADJ PLUMB BOB 500GR;
11898;;PT LEVEL LINE STANLEY 75MM;
11899;;WEBCO TAPE - 10MT F/GLASS;
11910;6004709172000;SIKA SEALOFLEX PRO GREY 5LT;
11912;;ELECT HALOGEN 12V 50W DIACHRO;
11923;;KK BRASS NUMBERS 50MM;
11924;;MAT - DIRT TRAPPER 600X400MM;
11925;;SPRAYGUN MESH 200;
11934;;WOODOC 45 1LT;
11935;;WOODOC 45 5LT;
11937;;DEK TRADE L/S LT GREY 20LT;
